id,bin,area_km2,harbors,overlaps,kcal_all,kcal_cerleg,kcal_bantub,kcal_density,pop_1500,cities_1500,pop_1700,cities_1700,pop_1800,cities_1800,origin_lon,origin_lat,rf_pred_1800,rf_resid_1800
PA-89,0_0_0,20797,0,7,0,0,0,0.0,0,0,0,0,0,0,15.77361,27.82338,0,-0.0
OW-90,0_0_0,19249,0,7,0,0,0,0.0,0,0,0,0,0,0,13.90305,27.28339,0,-0.0
OW-89,0_0_0,21198,0,7,0,0,0,0.0,0,0,0,0,0,0,13.90305,27.82338,0,-0.0
PB-90,0_0_0,21229,0,7,0,0,0,0.0,0,0,0,0,0,0,16.24125,27.55338,0,-0.0
OY-89,0_0_0,20211,0,7,0,0,0,0.0,0,0,0,0,0,0,14.83833,27.82338,0,-0.0
OX-89,0_0_0,21887,0,7,0,0,0,0.0,0,0,0,0,0,0,14.37069,28.09337,0,-0.01
OZ-91,0_0_0,20721,0,7,0,0,0,0.0,0,0,0,0,0,0,15.30597,27.0134,0,-0.0
OZ-89,0_0_0,19895,0,7,0,0,0,0.0,0,0,0,0,0,0,15.30597,28.09337,0,-0.0
OY-91,0_0_0,21191,0,7,0,0,0,0.0,0,0,0,0,0,0,14.83833,26.74341,0,-0.0
PB-94,0_0_0,21079,0,7,0,0,0,0.0,0,0,0,0,0,0,16.24125,25.39345,0,-0.0
PC-91,0_0_0,20042,0,7,0,0,0,0.0,0,0,0,0,0,0,16.70889,26.74341,0,-0.0
PB-96,0_0_0,21455,0,7,0,0,0,0.0,0,0,0,0,0,0,16.24125,24.31348,0,-0.01
PA-93,0_0_0,21300,0,7,0,0,0,0.0,0,0,0,0,0,0,15.77361,25.66344,0,-0.0
PD-95,0_0_0,19904,0,7,0,0,0,0.0,0,0,0,0,0,0,17.17653,24.85346,0,-0.0
PA-94,0_0_0,20797,0,7,0,0,0,0.0,0,0,0,0,0,0,15.77361,25.12345,0,-0.0
PB-95,0_0_0,20206,0,7,0,0,0,0.0,0,0,0,0,0,0,16.24125,24.85346,0,-0.0
PC-95,0_0_0,20206,0,7,0,0,0,0.0,0,0,0,0,0,0,16.70889,24.58347,0,-0.0
OZ-95,0_0_0,21680,0,7,0,0,0,0.0,0,0,0,0,0,0,15.30597,24.85346,0,-0.01
PD-92,0_0_0,20659,0,7,0,0,0,0.0,0,0,0,0,0,0,17.17653,26.47342,0,-0.0
PA-92,0_0_0,20032,0,7,0,0,0,0.0,0,0,0,0,0,0,15.77361,26.20342,0,-0.0
PA-96,0_0_0,22833,0,7,0,0,0,0.0,0,0,0,0,0,0,15.77361,24.04349,0,-0.02
PA-95,0_0_0,20022,0,7,0,0,0,0.0,0,0,0,0,0,0,15.77361,24.58347,0,-0.0
PC-96,0_0_0,20522,0,7,0,0,0,0.0,0,0,0,0,0,0,16.70889,24.04349,0,-0.0
PC-93,0_0_0,20893,0,7,0,0,0,0.0,0,0,0,0,0,0,16.70889,25.66344,0,-0.0
PC-92,0_0_0,20358,0,7,0,0,0,0.0,0,0,0,0,0,0,16.70889,26.20342,0,-0.0
PC-94,0_0_0,19983,0,7,0,0,0,0.0,0,0,0,0,0,0,16.70889,25.12345,0,-0.0
PB-93,0_0_0,22068,0,7,0,0,0,0.0,0,0,0,0,0,0,16.24125,25.93343,0,-0.01
PB-92,0_0_0,19053,0,7,0,0,0,0.0,0,0,0,0,0,0,16.24125,26.47342,0,-0.0
OZ-92,0_0_0,20937,0,7,0,0,0,0.0,0,0,0,0,0,0,15.30597,26.47342,0,-0.0
OR-91,0_0_0,20960,0,7,0,0,0,0.0,0,0,0,0,0,0,11.56485,27.0134,0,-0.0
OU-90,0_0_0,19881,0,7,0,0,0,0.0,0,0,0,0,0,0,12.96777,27.28339,0,-0.0
OU-91,0_0_0,20975,0,7,0,0,0,0.0,0,0,0,0,0,0,12.96777,26.74341,0,-0.0
OS-88,0_0_0,19117,0,7,0,0,0,0.0,0,0,0,0,0,0,12.03249,28.36336,0,-0.0
OT-91,0_0_0,20102,0,7,0,0,0,0.0,0,0,0,0,0,0,12.50013,27.0134,0,-0.0
OT-90,0_0_0,19823,0,7,0,0,0,0.0,0,0,0,0,0,0,12.50013,27.55338,0,-0.0
OQ-88,0_0_0,20969,0,7,0,0,0,0.0,0,0,0,0,0,0,11.09721,28.36336,0,-0.0
